Generation,Mean_RMSE,Std_Dev,Best_RMSE
302,37.81005,1.4956955,35.251957
303,37.782516,1.4745725,35.251957
304,37.75269,1.4465971,35.251957
305,37.72515,1.4509294,35.251957
306,37.699986,1.4718931,35.251957
307,37.675106,1.4583862,35.251957
308,37.660324,1.4479153,35.251957
309,37.64245,1.4483767,35.251957
310,37.623215,1.437652,35.251957
311,37.607635,1.4387428,35.251957
312,37.591183,1.4478714,35.251957
313,37.568367,1.4396496,35.251957
314,37.545807,1.4552841,35.121143
315,37.49352,1.4442368,35.050407
316,37.482536,1.4444782,35.050407
317,37.477848,1.4425918,35.050407
318,37.464394,1.4389772,35.050407
319,37.452988,1.4353557,35.050407
320,37.41775,1.4326633,35.050407
321,37.398396,1.4277312,35.050407
322,37.376213,1.4213804,35.050407
323,37.36942,1.4170964,35.050407
324,37.352333,1.4241424,34.99513
325,37.350975,1.4233634,34.989204
326,37.333565,1.4320014,34.941658
327,37.302174,1.3993541,34.941658
328,37.28982,1.3686715,34.941658
329,37.262276,1.3773882,34.941658
330,37.250244,1.3754586,34.941658
331,37.232044,1.3697274,34.927113
332,37.216957,1.3524461,34.927113
333,37.206776,1.3510551,34.927113
334,37.1975,1.3559026,34.924164
335,37.18464,1.3533118,34.924164
336,37.170982,1.3541386,34.924164
337,37.160378,1.3507965,34.924164
338,37.132164,1.3247273,34.854454
339,37.09916,1.3353044,34.854454
340,37.089134,1.3369195,34.854454
341,37.073433,1.3287896,34.795677
342,37.05011,1.3353782,34.740284
343,37.044838,1.3325127,34.740284
344,37.03561,1.337202,34.740284
345,37.015778,1.3356147,34.740284
346,37.007698,1.3266946,34.740284
347,36.9843,1.3294094,34.740284
348,36.97353,1.3314949,34.71768
349,36.944653,1.3309566,34.646683
350,36.92813,1.3275379,34.646683
351,36.892673,1.3199855,34.598476
352,36.873894,1.3224093,34.598476
353,36.855446,1.3315868,34.589977
354,36.837868,1.337582,34.58692
355,36.826008,1.340911,34.58692
356,36.809544,1.3392144,34.58692
357,36.778538,1.336252,34.58692
358,36.76893,1.3318235,34.58692
359,36.751244,1.3161705,34.58692
360,36.729713,1.325226,34.469036
361,36.700386,1.304244,34.40425
362,36.684494,1.3021985,34.40425
363,36.672398,1.2994134,34.346893
364,36.64208,1.2965928,34.341076
365,36.61875,1.299652,34.251225
366,36.613808,1.3050383,34.251225
367,36.60923,1.3071262,34.223804
368,36.599693,1.2995254,34.223804
369,36.586716,1.2996277,34.191196
370,36.57113,1.2988297,34.191196
371,36.550213,1.3038621,34.093822
372,36.52907,1.2975887,34.093822
373,36.521248,1.3004721,34.093822
374,36.50737,1.3091936,33.97599
375,36.499733,1.3112748,33.9505
376,36.48336,1.2914367,33.9505
377,36.466423,1.3005775,33.9505
378,36.45583,1.2941518,33.9505
379,36.441185,1.3018064,33.92358
380,36.43191,1.2980651,33.92358
381,36.40711,1.305372,33.88454
382,36.393932,1.3058925,33.88454
383,36.38339,1.300908,33.88454
384,36.36768,1.30071,33.88454
385,36.35,1.3075743,33.852398
386,36.332745,1.3057095,33.783607
387,36.32247,1.2981637,33.771652
388,36.3124,1.2934884,33.771652
389,36.289185,1.282909,33.771652
390,36.277977,1.2809862,33.771652
391,36.264664,1.2888387,33.73593
392,36.238308,1.3022991,33.73593
393,36.222477,1.3060505,33.695698
394,36.214046,1.3074287,33.695698
395,36.202652,1.3085581,33.683567
396,36.195183,1.3044536,33.683567
397,36.184525,1.3038348,33.65959
398,36.172127,1.2945468,33.65959
399,36.16272,1.2944903,33.65959
400,36.14586,1.286928,33.65959
401,36.137383,1.2850492,33.65959
402,36.12406,1.2858849,33.65959
403,36.108334,1.2783525,33.604927
404,36.10204,1.2812909,33.604927
405,36.090977,1.298948,33.491615
406,36.07772,1.2963282,33.491615
407,36.060978,1.2985071,33.486145
408,36.04873,1.2875655,33.486145
409,36.04503,1.2851813,33.486145
410,36.025135,1.2962245,33.486145
411,36.02104,1.2967039,33.486145
412,36.014385,1.296357,33.486145
413,35.993908,1.2890471,33.486145
414,35.973457,1.2985054,33.486145
415,35.96496,1.3020296,33.486145
416,35.95589,1.2984346,33.486145
417,35.95062,1.2992492,33.486145
418,35.9331,1.2884269,33.461536
419,35.923164,1.2860981,33.461536
420,35.915493,1.2880338,33.461536
421,35.90375,1.2882587,33.46153
422,35.89123,1.2792261,33.46153
423,35.884228,1.2842922,33.44356
424,35.875374,1.2856606,33.44356
425,35.87165,1.2877473,33.44356
426,35.86207,1.2837982,33.44356
427,35.85324,1.2818049,33.44356
428,35.846092,1.2788314,33.44086
429,35.828648,1.2721437,33.44086
430,35.82002,1.2742156,33.44086
431,35.813,1.2662584,33.44086
432,35.800484,1.2681714,33.44086
433,35.78712,1.2684408,33.44086
434,35.77196,1.2803699,33.44086
435,35.75054,1.2818992,33.44086
436,35.737186,1.2769321,33.44086
437,35.727493,1.2632312,33.429287
438,35.71499,1.2694227,33.428677
439,35.70774,1.2706093,33.428677
440,35.693825,1.2756968,33.428677
441,35.676243,1.2799108,33.428677
442,35.66787,1.2833177,33.35915
443,35.65612,1.2887963,33.35915
444,35.64483,1.2788489,33.35915
445,35.638744,1.2776954,33.35915
446,35.629837,1.2746874,33.35915
447,35.61577,1.260792,33.35915
448,35.59642,1.2694864,33.3391
