Generation,Mean_RMSE,Std_Dev,Best_RMSE
399,41.686337,1.734338,38.18392
400,41.6753,1.7286623,38.18392
401,41.659515,1.7258182,38.18392
402,41.636204,1.7077985,38.18392
403,41.622475,1.7051382,38.18392
404,41.610424,1.6988295,38.18392
405,41.601257,1.7074597,38.18392
406,41.591946,1.6957045,38.18392
407,41.579796,1.700419,38.18392
408,41.569817,1.7026705,38.18392
409,41.556175,1.7148154,38.18392
410,41.536476,1.715909,38.134674
411,41.529644,1.7102507,38.134674
412,41.519848,1.7064753,38.120567
413,41.497856,1.7169871,37.924732
414,41.494377,1.7165132,37.924732
415,41.481724,1.7196336,37.924732
416,41.45969,1.7299166,37.924732
417,41.44773,1.7106907,37.924732
418,41.436584,1.7259597,37.791744
419,41.43245,1.7273861,37.791744
420,41.421013,1.724446,37.791744
421,41.400627,1.7146151,37.784374
422,41.39216,1.7167026,37.73335
423,41.38488,1.7089419,37.73335
424,41.376522,1.7141249,37.73335
425,41.3735,1.7145313,37.73335
426,41.36561,1.7138953,37.678738
427,41.330326,1.7099074,37.678738
428,41.323784,1.7176737,37.604946
429,41.320988,1.7170275,37.604946
430,41.315514,1.718372,37.604946
431,41.313522,1.7181541,37.604946
432,41.309624,1.7157246,37.604946
433,41.30353,1.7181573,37.604946
434,41.288506,1.7266198,37.524784
435,41.269844,1.7223234,37.524784
436,41.253944,1.7066066,37.524784
437,41.24674,1.7096733,37.524784
438,41.224545,1.7167301,37.524784
439,41.224277,1.7166628,37.524784
440,41.21766,1.7167416,37.524784
441,41.205887,1.717482,37.524784
442,41.202343,1.7164358,37.524784
443,41.16903,1.698473,37.524784
444,41.161774,1.6957111,37.524784
445,41.156494,1.700089,37.50286
446,41.151333,1.7035017,37.50286
447,41.13514,1.7037156,37.50286
448,41.126366,1.6968589,37.50286
449,41.125565,1.6974765,37.50286
450,41.11622,1.6952814,37.50286
451,41.111874,1.6973184,37.50286
452,41.10234,1.6919792,37.50286
453,41.10234,1.6919792,37.50286
454,41.09984,1.6910836,37.50286
455,41.08409,1.6927439,37.454094
456,41.07736,1.6898032,37.454094
457,41.07258,1.6938435,37.454094
458,41.06743,1.6948551,37.454094
459,41.0585,1.6932938,37.454094
460,41.036385,1.7083703,37.35265
461,41.030724,1.7086881,37.35265
462,41.0154,1.700671,37.35265
463,41.00901,1.6970345,37.35265
464,40.985374,1.7028319,37.35265
465,40.975945,1.7001342,37.35265
466,40.971245,1.697673,37.35265
467,40.969723,1.6981077,37.35265
468,40.967937,1.6974144,37.35265
469,40.956635,1.7110327,37.35265
470,40.932487,1.712009,37.35265
471,40.923214,1.7096527,37.35265
472,40.917557,1.7064022,37.35265
473,40.917557,1.7064022,37.35265
474,40.91009,1.7064443,37.35265
475,40.90023,1.7060802,37.35265
476,40.899532,1.7062145,37.35265
477,40.881157,1.72312,37.15656
478,40.878193,1.7201291,37.15656
479,40.865475,1.7092558,37.15656
480,40.84829,1.698929,37.15656
481,40.842182,1.6868161,37.15656
482,40.83275,1.6825742,37.15656
483,40.829327,1.6803924,37.15656
484,40.82551,1.6786461,37.15656
485,40.8231,1.6825593,37.15656
486,40.81472,1.6856282,37.15656
487,40.809597,1.6853212,37.15656
488,40.79653,1.681277,37.15656
489,40.771988,1.6713362,37.15656
490,40.77027,1.6707647,37.15656
491,40.75878,1.6700922,37.15656
492,40.75364,1.6683632,37.15656
493,40.737015,1.6829925,37.15656
494,40.73429,1.6828691,37.15656
495,40.733025,1.6827049,37.15656
496,40.72148,1.6829091,37.15656
497,40.715786,1.6822853,37.15656
498,40.703556,1.6774099,37.15656
499,40.687622,1.6894318,37.15656
500,40.67553,1.6842203,37.15656
501,40.67165,1.6886098,37.15656
502,40.648876,1.6772536,37.15656
503,40.641827,1.6742666,37.15656
504,40.62805,1.6723002,37.15656
505,40.620388,1.6746662,37.15656
506,40.60621,1.6628553,37.15656
507,40.604404,1.6625326,37.15656
508,40.594368,1.6648321,37.15656
509,40.565624,1.6551906,37.15656
510,40.555405,1.6552908,37.15656
511,40.550926,1.6559472,37.15656
512,40.546448,1.6525604,37.15656
513,40.5412,1.6412282,37.15656
514,40.525246,1.6493877,37.15656
515,40.50838,1.6489558,37.1243
516,40.50838,1.6489558,37.1243
517,40.499672,1.6445676,37.1243
518,40.481327,1.6431891,37.079144
519,40.481255,1.6431848,37.079144
520,40.47474,1.6447066,37.079144
521,40.471413,1.6375769,37.079144
522,40.46424,1.643459,37.079144
523,40.457603,1.6447227,37.079144
524,40.44795,1.6489064,37.079144
525,40.42266,1.6475738,37.079144
526,40.415943,1.6491809,37.079144
527,40.410576,1.653561,37.079144
528,40.400127,1.6630279,37.079144
529,40.398224,1.6629758,37.079144
530,40.383698,1.6652055,37.079144
531,40.379112,1.6625787,37.079144
532,40.371613,1.6730709,37.00634
533,40.365166,1.6728648,37.00634
534,40.36063,1.6697719,37.00634
535,40.36062,1.6697696,37.00634
536,40.34954,1.6669432,36.993736
537,40.340977,1.6613498,36.993736
538,40.3352,1.6679643,36.92603
539,40.31387,1.6740836,36.92603
540,40.310574,1.6719229,36.92603
541,40.297283,1.6673949,36.913593
542,40.289463,1.6655077,36.913593
543,40.287735,1.6653225,36.913593
544,40.284477,1.6599891,36.913593
545,40.2781,1.6599513,36.913593
546,40.272987,1.6598921,36.913593
547,40.260315,1.6642132,36.803043
548,40.24113,1.6686678,36.803043
549,40.22971,1.675171,36.803043
550,40.223248,1.6773944,36.803043
551,40.220142,1.6795299,36.803043
552,40.207283,1.6746583,36.803043
553,40.18634,1.6712235,36.803043
554,40.178,1.670116,36.803043
555,40.15457,1.6760514,36.630535
556,40.146454,1.6730646,36.630535
557,40.134243,1.6707668,36.630535
558,40.127186,1.6695696,36.630535
559,40.123604,1.6689409,36.630535
560,40.12055,1.6678867,36.630535
561,40.11651,1.6688185,36.630535
562,40.10863,1.662777,36.630535
563,40.097046,1.6671977,36.598824
564,40.080086,1.663658,36.598824
565,40.066593,1.6618109,36.598824
566,40.06515,1.6622128,36.598824
567,40.05146,1.6489462,36.598824
568,40.047195,1.6463258,36.598824
569,40.045113,1.6492519,36.598824
570,40.045113,1.6492519,36.598824
571,40.039635,1.6484423,36.598824
572,40.024277,1.6447625,36.598824
573,40.018284,1.6423414,36.598824
574,40.016094,1.6428418,36.598824
575,40.00547,1.6418537,36.598824
576,39.99714,1.643681,36.566376
577,39.977413,1.6309386,36.566376
578,39.9627,1.6277158,36.566376
579,39.95514,1.6174392,36.566376
580,39.93772,1.6215714,36.566376
581,39.934002,1.6212139,36.566376
582,39.92733,1.6146927,36.566376
583,39.914043,1.6337615,36.566376
584,39.893692,1.624753,36.566376
585,39.84836,1.6042373,36.566376
586,39.840073,1.602531,36.566376
587,39.82874,1.5982562,36.566376
588,39.81623,1.5985544,36.566376
589,39.8105,1.5971915,36.566376
590,39.801327,1.5982094,36.566376
591,39.796055,1.5976353,36.566376
592,39.77887,1.5848292,36.566376
593,39.756104,1.5807973,36.566376
594,39.748894,1.5836936,36.566376
595,39.74021,1.5827721,36.566376
596,39.7388,1.5815158,36.566376
597,39.730755,1.5678096,36.566376
598,39.729336,1.566434,36.566376
599,39.729336,1.566434,36.566376
600,39.714687,1.5750247,36.566376
601,39.712654,1.5732923,36.566376
602,39.7082,1.5797514,36.566376
603,39.69097,1.5853902,36.566376
604,39.69097,1.5853902,36.566376
605,39.681915,1.584922,36.566376
606,39.673286,1.5822201,36.566376
607,39.66978,1.585214,36.566376
608,39.666096,1.5891539,36.566376
609,39.652576,1.5894759,36.566376
610,39.645576,1.5823714,36.566376
611,39.637184,1.5812173,36.566376
612,39.63244,1.5826473,36.566376
613,39.628517,1.5826449,36.566376
614,39.620342,1.5831895,36.566376
615,39.61255,1.5839183,36.566376
616,39.60636,1.5908719,36.566376
617,39.60573,1.5907377,36.566376
618,39.60367,1.5910428,36.566376
619,39.59264,1.5874175,36.566376
620,39.59264,1.5874175,36.566376
621,39.59118,1.5880768,36.566376
622,39.57954,1.5947618,36.566376
623,39.568737,1.5883245,36.566376
624,39.558155,1.5712843,36.566376
625,39.55788,1.5712188,36.566376
626,39.53879,1.5694323,36.566376
627,39.52343,1.5823298,36.566376
628,39.518818,1.587712,36.566376
629,39.517174,1.5876124,36.566376
630,39.50883,1.5945606,36.566376
631,39.498024,1.5972072,36.566376
632,39.495415,1.5959721,36.566376
633,39.48302,1.5961591,36.566376
634,39.482483,1.595126,36.566376
635,39.479393,1.5974388,36.566376
636,39.458714,1.6083609,36.566376
637,39.45318,1.6013926,36.566376
638,39.449677,1.60176,36.566376
639,39.449596,1.6018755,36.566376
640,39.444763,1.5997932,36.566376
641,39.44166,1.5979136,36.566376
642,39.43799,1.5954955,36.566376
643,39.429863,1.6027548,36.566376
644,39.420677,1.5911573,36.566376
645,39.41976,1.5910609,36.566376
646,39.413315,1.5915203,36.566376
647,39.400593,1.5906371,36.566376
648,39.39899,1.5894978,36.566376
649,39.38666,1.5864564,36.566376
650,39.383827,1.5909917,36.566376
651,39.37322,1.5907569,36.566376
652,39.36155,1.5694001,36.566376
653,39.351753,1.5705626,36.566376
654,39.350956,1.569657,36.566376
655,39.350746,1.5699925,36.566376
656,39.349705,1.5716835,36.566376
657,39.34515,1.5704967,36.566376
658,39.34515,1.5704967,36.566376
659,39.328987,1.5726292,36.566376
660,39.32789,1.57142,36.566376
661,39.326473,1.5737402,36.566376
662,39.319695,1.5662204,36.566376
663,39.31159,1.5576715,36.566376
664,39.30558,1.5601015,36.566376
665,39.281334,1.5575976,36.566376
666,39.27935,1.5556802,36.566376
667,39.274677,1.552581,36.566376
668,39.26098,1.5667409,36.566376
669,39.25563,1.563329,36.566376
670,39.24306,1.5547564,36.566376
671,39.23475,1.5498877,36.566376
672,39.23475,1.5498877,36.566376
673,39.22619,1.5623727,36.49428
674,39.224754,1.560808,36.49428
675,39.21817,1.5608367,36.49428
676,39.217476,1.5614924,36.49428
677,39.20965,1.5590556,36.488632
678,39.203037,1.5572482,36.488632
679,39.20208,1.5562346,36.488632
680,39.196384,1.5576309,36.488632
681,39.18954,1.5596023,36.488632
682,39.178673,1.5543872,36.488632
683,39.175716,1.5553335,36.488632
684,39.17344,1.5541232,36.488632
685,39.171265,1.5534147,36.488632
686,39.171265,1.5534147,36.488632
687,39.16134,1.5441877,36.488632
688,39.161095,1.544564,36.488632
689,39.157112,1.5498157,36.488632
690,39.157112,1.5498157,36.488632
691,39.151466,1.5513605,36.488632
692,39.151466,1.5513605,36.488632
693,39.151466,1.5513605,36.488632
694,39.135975,1.5424149,36.488632
695,39.133343,1.5446775,36.488632
696,39.129333,1.5495534,36.488632
697,39.125538,1.5528026,36.488632
698,39.111824,1.5628514,36.488632
699,39.102528,1.5516067,36.488632
700,39.10026,1.553381,36.488632
701,39.10026,1.553381,36.488632
702,39.10026,1.553381,36.488632
703,39.09436,1.5497633,36.464455
704,39.088696,1.5407144,36.464455
705,39.088696,1.5407144,36.464455
706,39.07721,1.5334518,36.464455
707,39.07721,1.5334518,36.464455
708,39.07418,1.534493,36.442966
709,39.064213,1.5485904,36.325638
710,39.06405,1.5486239,36.325638
711,39.044235,1.549971,36.325638
712,39.041824,1.5511768,36.325638
713,39.040962,1.5512707,36.325638
714,39.03875,1.5548662,36.325638
715,39.037224,1.554686,36.325638
716,39.037224,1.554686,36.325638
717,39.016766,1.5480582,36.26636
718,39.00666,1.5472558,36.26636
719,39.003784,1.5453807,36.26636
720,38.99033,1.545086,36.26636
721,38.98783,1.5456753,36.259445
722,38.986187,1.5446144,36.259445
723,38.986187,1.5446144,36.259445
724,38.983143,1.5442821,36.259445
725,38.97989,1.5464126,36.259445
726,38.97823,1.5493478,36.22624
727,38.964413,1.5498638,36.208286
728,38.964413,1.5498638,36.208286
729,38.95231,1.5477073,36.208286
730,38.950153,1.5464574,36.208286
731,38.947884,1.5457938,36.208286
732,38.94603,1.5446695,36.208286
733,38.93532,1.5414975,36.208286
734,38.922203,1.5350668,36.208286
735,38.920097,1.5342927,36.206425
736,38.915497,1.5340581,36.206425
737,38.90572,1.5227959,36.206425
738,38.900677,1.5170515,36.206425
739,38.89843,1.5172393,36.206425
740,38.887352,1.5120621,36.206425
741,38.88158,1.5137458,36.199978
742,38.866703,1.5148063,36.18602
743,38.86387,1.5170376,36.18602
744,38.86376,1.5169964,36.18602
745,38.85672,1.5149137,36.18602
746,38.85327,1.5210575,36.117027
747,38.85327,1.5210575,36.117027
748,38.829777,1.5140808,36.117027
749,38.82457,1.5217028,36.037968
750,38.82391,1.5212551,36.037968
751,38.821632,1.5254549,35.992393
752,38.808525,1.5096096,35.992393
753,38.794838,1.5003048,35.992393
754,38.784447,1.4944707,35.966526
755,38.784203,1.494217,35.966526
756,38.784203,1.494217,35.966526
757,38.784203,1.494217,35.966526
758,38.783165,1.4939106,35.966526
759,38.783165,1.4939106,35.966526
760,38.783165,1.4939106,35.966526
761,38.776134,1.4884757,35.966526
762,38.774193,1.4877696,35.966526
763,38.771477,1.4875523,35.966526
764,38.76844,1.486774,35.966526
765,38.758263,1.4819521,35.966526
766,38.743996,1.4873712,35.952454
767,38.742252,1.4880365,35.952454
768,38.74054,1.4907593,35.946026
769,38.73985,1.4910328,35.946026
770,38.733696,1.4937197,35.946026
771,38.73069,1.4927564,35.946026
772,38.729576,1.4948335,35.923824
773,38.729576,1.4948335,35.923824
774,38.723637,1.4936157,35.923824
775,38.723637,1.4936157,35.923824
776,38.723328,1.4941945,35.917656
777,38.708607,1.504033,35.915688
778,38.69513,1.51169,35.915688
